;Link;BibtexID;ResponsiblePerson;Title;StudyType;Dataset;Domain of tests [other];DataPyramid;DatasetFeatures;Coupled/Decoupled;GroundTruthType;RecommendationType;GroupSizes;Baselines;GroupConstruction;GroupDuration;EvaluationDimensions;ReproducibleCode;ReproducibleData;ReproducibleGroups;ReproducibleEvalProtocol;Notes;ParsedDataset;DatasetHighLevel;ParsedDatasetHighLevel;ParsedBaselines;EvaluationDimensionsHighLevel;ParsedDomain;ParsedGroupConstruction;ParsedGroupConstructionHighLevel;ParsedGroupSizes;bib_text;bib_ID;bib_title;bib_authors;bib_year;bib_venue;bib_venue_long;bib_venue_type;bib_doi;bib_url;bib_publisher
61;https://dl.acm.org/doi/abs/10.1145/3563359.3597386;;LP;The Effect of Similarity Metric and Group Size on Outlier Selection & Satisfaction in Group Recommender Systems;offline;ml1m;movies;No_groups;;Coupled;Individual;One-session;4-100;item-based,fai,gfar,greedylm,ep-fuzzda;similar,outliers;Ephemeral;relevance(precision@10,majorityvs.minoritycomparison);Code;Data;GenerationCode;;;['ml1m'];ml1m;['ml1m'];['item-based', 'fai', 'gfar', 'greedylm', 'ep-fuzzda'];['relevance'];['movies'];['similar', 'outliers'];['similar', 'heterogeneous'];[52.0];" @inproceedings{Dokoupil_2023, series={UMAP ’23}, title={The Effect of Similarity Metric and Group Size on Outlier Selection &amp; Satisfaction in Group Recommender Systems}, url={http://dx.doi.org/10.1145/3563359.3597386}, DOI={10.1145/3563359.3597386}, booktitle={Adjunct Proceedings of the 31st ACM Conference on User Modeling, Adaptation and Personalization}, publisher={ACM}, author={Dokoupil, Patrik and Peska, Ladislav}, year={2023}, month=jun, collection={UMAP ’23} }
";Dokoupil_2023;"The Effect of Similarity Metric and Group Size on Outlier Selection &amp; Satisfaction in Group Recommender Systems";['Dokoupil, Patrik', 'Peska, Ladislav'];2023;UMAP;Adjunct Proceedings of the 31st ACM Conference on User Modeling, Adaptation and Personalization;inproceedings;10.1145/3563359.3597386;http://dx.doi.org/10.1145/3563359.3597386;ACM
62;https://link.springer.com/article/10.1007/s11063-023-11376-0;;LP;DFGR: Diversity and Fairness Awareness of Group Recommendation in an Event-based Social Network;offline;douban,meetup;events(pois);No_groups;;Coupled;Individual;Unclear / not specified;unclear;item-based,mofir,gfar,fpgr,mtaf;notspecified;Unclear / not specified;relevance(ndcg,recall),diversity(topiccoverage),fairness(min/max);Algorithm only;Data;"Problems: group construction unclear (perhaps the same as in original dataset papers?)
";Problems: no details on the timestamp ;;['douban', 'meetup'];douban,meetup;['douban', 'meetup'];['item-based', 'mofir', 'gfar', 'fpgr', 'mtaf'];['relevance'];['events(pois)'];['notspecified'];['unknown / not applicable'];[];" @article{Liang_2022, title={DFGR: Diversity and Fairness Awareness of Group Recommendation in an Event-based Social Network}, url={http://dx.doi.org/10.21203/rs.3.rs-2145572/v1}, DOI={10.21203/rs.3.rs-2145572/v1}, publisher={Research Square Platform LLC}, author={Liang, Yuan}, year={2022}, month=oct }
";Liang_2022;DFGR: Diversity and Fairness Awareness of Group Recommendation in an Event-based Social Network;['Liang, Yuan'];2022;Neural Processing Letters;;article;10.21203/rs.3.rs-2145572/v1;http://dx.doi.org/10.21203/rs.3.rs-2145572/v1;Research Square Platform LLC
63;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;Unclear / not specified;['other'];['Unclear / not specified'];['Unclear / not specified'];Unclear / not specified;Unclear / not specified;['Unclear / not specified'];[];" @article{Stratigi_2023, title={SQUIRREL: A framework for sequential group recommendations through reinforcement learning}, volume={112}, ISSN={0306-4379}, url={http://dx.doi.org/10.1016/j.is.2022.102128}, DOI={10.1016/j.is.2022.102128}, journal={Information Systems}, publisher={Elsevier BV}, author={Stratigi, Maria and Pitoura, Evaggelia and Stefanidis, Kostas}, year={2023}, month=feb, pages={102128} }
";Stratigi_2023;SQUIRREL: A framework for sequential group recommendations through reinforcement learning;['Stratigi, Maria', 'Pitoura, Evaggelia', 'Stefanidis, Kostas'];2023;Information Systems;;article;10.1016/j.is.2022.102128;http://dx.doi.org/10.1016/j.is.2022.102128;Elsevier BV
64;https://www.sciencedirect.com/science/article/pii/S0957417422023120;;LP;A fuzzy intelligent group recommender method in sparse-data environments based on multi-agent negotiation;offline;tripadvisor(privatecollection);restaurants(pois);No_groups;600 users -> 20 groups;Not clear;Individual;One-session;unknown;unknown;unknown(2+mutualitems);Ephemeral;relevance(ndcg,trd);Algorithm only;No dataset provided;"Problems: group construction unclear, only some conditions specified
";;;['tripadvisor(privatecollection)'];tripadvisor;['tripadvisor'];['-'];['relevance'];['restaurants(pois)'];['unknown(2', 'mutualitems)'];['unknown / not applicable'];[];" @article{Ji_2023, title={A fuzzy intelligent group recommender method in sparse-data environments based on multi-agent negotiation}, volume={213}, ISSN={0957-4174}, url={http://dx.doi.org/10.1016/j.eswa.2022.119294}, DOI={10.1016/j.eswa.2022.119294}, journal={Expert Systems with Applications}, publisher={Elsevier BV}, author={Ji, Pu and Ma, Xiaoyu}, year={2023}, month=mar, pages={119294} }
";Ji_2023;A fuzzy intelligent group recommender method in sparse-data environments based on multi-agent negotiation;['Ji, Pu', 'Ma, Xiaoyu'];2023;Expert Systems with Applications;;article;10.1016/j.eswa.2022.119294;http://dx.doi.org/10.1016/j.eswa.2022.119294;Elsevier BV
65;https://www.sciencedirect.com/science/article/pii/S0957417423001823#b0015;;LP;Hybrid POI group recommender system based on group type in LBSN;offline;lbsnswarm(ankara);pois;GroupDecisions;1.6K users, 9K groups, 70K user check-ins, 46K group check-ins;Coupled;Group;One-session;2-12;item-based,indivrs-groups-data,infl,infl_cmean,bglr;organic;Mixed;relevance(precision,recall@k);Algorithm only;Data generation scripts + data on demand;Groups;;;['lbsnswarm(ankara)'];lbsnswarm;['lbsnswarm'];['item-based', 'indivrs-groups-data', 'infl', 'infl_cmean', 'bglr'];['relevance'];['pois'];['organic'];['organic'];[7.0];" @article{Bahari_Sojahrood_2023, title={Hybrid POI group recommender system based on group type in LBSN}, volume={219}, ISSN={0957-4174}, url={http://dx.doi.org/10.1016/j.eswa.2023.119681}, DOI={10.1016/j.eswa.2023.119681}, journal={Expert Systems with Applications}, publisher={Elsevier BV}, author={Bahari Sojahrood, Zahra and Taleai, Mohammad and Cheng, Hao}, year={2023}, month=jun, pages={119681} }
";Bahari_Sojahrood_2023;Hybrid POI group recommender system based on group type in LBSN;['Bahari Sojahrood, Zahra', 'Taleai, Mohammad', 'Cheng, Hao'];2023;Expert Systems with Applications;;article;10.1016/j.eswa.2023.119681;http://dx.doi.org/10.1016/j.eswa.2023.119681;Elsevier BV
66;https://dl.acm.org/doi/pdf/10.1145/3091478.3091485;;LP;Where Could We Go? Recommendations for Groups in Location-Based Social Networks;offline;lbsnswarm;pois;GroupDecisions;1.6K users, 9K groups, 70K user check-ins, 46K group check-ins;Not applicable;Group;One-session;2-21;item-based,indivrs-groups-data;organic;Mixed;relevance(precision,recall@k);Code;Data generation scripts + data on demand;Groups;;;['lbsnswarm'];lbsnswarm;['lbsnswarm'];['item-based', 'indivrs-groups-data'];['relevance'];['pois'];['organic'];['organic'];[12.0];" @inproceedings{Ayala_G_mez_2017, series={WebSci ’17}, title={Where Could We Go?: Recommendations for Groups in Location-Based Social Networks}, url={http://dx.doi.org/10.1145/3091478.3091485}, DOI={10.1145/3091478.3091485}, booktitle={Proceedings of the 2017 ACM on Web Science Conference}, publisher={ACM}, author={Ayala-Gómez, Frederick and Daróczy, Bálint and Mathioudakis, Michael and Benczúr, András and Gionis, Aristides}, year={2017}, month=jun, collection={WebSci ’17} }
";Ayala_G_mez_2017;Where Could We Go?: Recommendations for Groups in Location-Based Social Networks;['Ayala-Gómez, Frederick', 'Daróczy, Bálint', 'Mathioudakis, Michael', 'Benczúr, András', 'Gionis, Aristides'];2017;WebSci;Proceedings of the 2017 ACM on Web Science Conference;inproceedings;10.1145/3091478.3091485;http://dx.doi.org/10.1145/3091478.3091485;ACM
67;https://link.springer.com/article/10.1007/s11257-023-09363-0;;FB;Evaluating explainable social choice-based aggregation strategies for group recommendation;userstudy;-;restaurants;No_groups;2 studies (N=399 + N=288);Not applicable;Other/Unknown;One-session;5;item-based;usersasexternalreferies;Permanent;perceivedconsensus,perceivedfairness,satisfaction(likertscale);Algorithm only;Datasets published;Groups configurations provided;Anlysis code published;;['-'];-;['-'];['item-based'];['questionnaire-based'];['restaurants'];['usersasexternalreferies'];['unknown / not applicable'];[5.0];" @article{Barile_2023, title={Evaluating explainable social choice-based aggregation strategies for group recommendation}, ISSN={1573-1391}, url={http://dx.doi.org/10.1007/s11257-023-09363-0}, DOI={10.1007/s11257-023-09363-0}, journal={User Modeling and User-Adapted Interaction}, publisher={Springer Science and Business Media LLC}, author={Barile, Francesco and Draws, Tim and Inel, Oana and Rieger, Alisa and Najafian, Shabnam and Ebrahimi Fard, Amir and Hada, Rishav and Tintarev, Nava}, year={2023}, month=jun }
";Barile_2023;Evaluating explainable social choice-based aggregation strategies for group recommendation;['Barile, Francesco', 'Draws, Tim', 'Inel, Oana', 'Rieger, Alisa', 'Najafian, Shabnam', 'Ebrahimi\xa0Fard, Amir', 'Hada, Rishav', 'Tintarev, Nava'];2023;User Modeling and User-Adapted Interaction;;article;10.1007/s11257-023-09363-0;http://dx.doi.org/10.1007/s11257-023-09363-0;Springer
68;https://dl.acm.org/doi/full/10.1145/3542804;;LP;Performance Evaluation of Aggregation-based Group Recommender Systems for Ephemeral Groups;offline;ml100k,amazonreviews(food),amazonreviews(tools);movies,products;No_groups;;Decoupled;Individual;One-session;2-50;item-based,preference-aggregation;random,similar,divergent,combined;Ephemeral;relevance(hr,ndcg@k),diversity,coverage;Algorithm only;Data;General characteristics;;;['ml100k', 'amazonreviews(food)', 'amazonreviews(tools)'];ml100k,amazonreviews;['ml100k', 'other'];['item-based', 'profile-aggregation'];['relevance', 'diversity', 'coverage'];['movies', 'products'];['random', 'similar', 'divergent', 'combined'];['random', 'similar', 'divergent', 'heterogeneous'];[26.0];" @article{Ceh_Varela_2022, title={Performance Evaluation of Aggregation-based Group Recommender Systems for Ephemeral Groups}, volume={13}, ISSN={2157-6912}, url={http://dx.doi.org/10.1145/3542804}, DOI={10.1145/3542804}, number={6}, journal={ACM Transactions on Intelligent Systems and Technology}, publisher={Association for Computing Machinery (ACM)}, author={Ceh-Varela, Edgar and Cao, Huiping and Lauw, Hady W.}, year={2022}, month=sep, pages={1–26} }
";Ceh_Varela_2022;Performance Evaluation of Aggregation-based Group Recommender Systems for Ephemeral Groups;['Ceh-Varela, Edgar', 'Cao, Huiping', 'Lauw, Hady W.'];2022;ACM Transactions on Intelligent Systems and Technology;;article;10.1145/3542804;http://dx.doi.org/10.1145/3542804;ACM
69;https://ieeexplore.ieee.org/abstract/document/9874775;;LP;A Hierarchical Attention Network for Cross-Domain Group Recommendation;offline;"camra2011,mafengwo,ml_latest-small;(sourcedata:yelp+ml1m+ml25m)";movies,places(pois);GroupDecisions;;Coupled;Group;One-session;6;indivrs-groups-data,gradi,game;organic,similar;Mixed;relevance(hr,ndcg@k);Code;Data;Groups + General characteristics;;;['camra2011', 'mafengwo', 'ml_latest-small', '(sourcedata:yelp', 'ml1m', 'ml25m)'];"camra2011,mafengwo,ml_latest-small;";['camra2011', 'mafengwo', '-', 'other'];['indivrs-groups-data', 'gradi', 'game'];['relevance'];['movies', 'places(pois)'];['organic', 'similar'];['organic', 'similar'];[6.0];" @article{Liang_2022, title={A Hierarchical Attention Network for Cross-Domain Group Recommendation}, ISSN={2162-2388}, url={http://dx.doi.org/10.1109/tnnls.2022.3200480}, DOI={10.1109/tnnls.2022.3200480}, journal={IEEE Transactions on Neural Networks and Learning Systems}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Liang, Ruxia and Zhang, Qian and Wang, Jianqiang and Lu, Jie}, year={2022}, pages={1–15} }
";Liang_2022;A Hierarchical Attention Network for Cross-Domain Group Recommendation;['Liang, Ruxia', 'Zhang, Qian', 'Wang, Jianqiang', 'Lu, Jie'];2022;IEEE Transactions on Neural Networks and Learning Systems;;article;10.1109/tnnls.2022.3200480;http://dx.doi.org/10.1109/tnnls.2022.3200480;IEEE
70;https://ieeexplore.ieee.org/abstract/document/9906312;;LP;HetGRec: Heterogeneous Graph Attention Network for Group Recommendation;offline;camra2011,ml1m;movies;GroupDecisions;;Coupled;Group;One-session;avg:2, 5;item-based,agree,mosan,game,kgag;organic,similar,random;Mixed;relevance(hr,ndcg@k);Algorithm only;Some datasets not available;Groups + General characteristics;;;['camra2011', 'ml1m'];camra2011,ml1m;['camra2011', 'ml1m'];['item-based', 'agree', 'mosan', 'game', 'kgag'];['relevance'];['movies'];['organic', 'similar', 'random'];['organic', 'similar', 'random'];[2.0, 5.0];" @article{Zhang_2023, title={HetGRec: Heterogeneous Graph Attention Network for Group Recommendation}, volume={38}, ISSN={1941-1294}, url={http://dx.doi.org/10.1109/mis.2022.3211074}, DOI={10.1109/mis.2022.3211074}, number={1}, journal={IEEE Intelligent Systems}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Zhang, Song and Zheng, Nan and Wang, Danli}, year={2023}, month=jan, pages={9–18} }
";Zhang_2023;HetGRec: Heterogeneous Graph Attention Network for Group Recommendation;['Zhang, Song', 'Zheng, Nan', 'Wang, Danli'];2023;IEEE Intelligent Systems;;article;10.1109/mis.2022.3211074;http://dx.doi.org/10.1109/mis.2022.3211074;IEEE
71;https://link.springer.com/article/10.1007/s11280-022-01035-0;;LP;Intra- and inter-association attention network-enhanced policy learning for social group recommendation;offline;camra2011,douban,yelp,mafengwo;movies,restaurants,events,places(pois);GroupDecisions;;Coupled;Group;One-session;avg:2 - 7;agree,sa-ncf,sigr,mosan,groupim;organic(sameplacesametime+friendsonsocialnetwork);Mixed;relevance(hr,ndcg@k);Algorithm only;Data;Groups, GenerationProcedure;;;['camra2011', 'douban', 'yelp', 'mafengwo'];camra2011,douban,yelp,mafengwo;['camra2011', 'douban', 'yelp', 'mafengwo'];['agree', 'sa-ncf', 'sigr', 'mosan', 'groupim'];['relevance'];['movies', 'restaurants', 'events', 'places(pois)'];['organic(sameplacesametime', 'friendsonsocialnetwork)'];['organic'];[4.0];" @article{Wang_2022, title={Intra- and inter-association attention network-enhanced policy learning for social group recommendation}, volume={26}, ISSN={1573-1413}, url={http://dx.doi.org/10.1007/s11280-022-01035-0}, DOI={10.1007/s11280-022-01035-0}, number={1}, journal={World Wide Web}, publisher={Springer Science and Business Media LLC}, author={Wang, Youquan and Dai, Zhiwen and Cao, Jie and Wu, Jia and Tao, Haicheng and Zhu, Guixiang}, year={2022}, month=mar, pages={71–94} }
";Wang_2022;Intra- and inter-association attention network-enhanced policy learning for social group recommendation;['Wang, Youquan', 'Dai, Zhiwen', 'Cao, Jie', 'Wu, Jia', 'Tao, Haicheng', 'Zhu, Guixiang'];2022;World Wide Web;;article;10.1007/s11280-022-01035-0;http://dx.doi.org/10.1007/s11280-022-01035-0;Springer
72;https://link.springer.com/chapter/10.1007/978-3-031-21203-1_20;;LP;Preference Aggregation Mechanisms for a Tourism-Oriented Bayesian Recommender;offline;-;pois;No_groups;430POIs from Crete;Decoupled;Individual;One-session;5-20;item-based;notspecified;Ephemeral;fairness(m-proportionality,m-envy-freeness);Algorithm only;No dataset provided;"Problems: group construction unclear
";;;['-'];-;['-'];['item-based'];['fairness'];['pois'];['notspecified'];['unknown / not applicable'];[12.0];" @inbook{Streviniotis_2022, title={Preference Aggregation Mechanisms for a Tourism-Oriented Bayesian Recommender}, ISBN={9783031212031}, ISSN={1611-3349}, url={http://dx.doi.org/10.1007/978-3-031-21203-1_20}, DOI={10.1007/978-3-031-21203-1_20}, booktitle={Lecture Notes in Computer Science}, publisher={Springer International Publishing}, author={Streviniotis, Errikos and Chalkiadakis, Georgios}, year={2022}, month=nov, pages={331–346} }
";Streviniotis_2022;Preference Aggregation Mechanisms for a Tourism-Oriented Bayesian Recommender;['Streviniotis, Errikos', 'Chalkiadakis, Georgios'];2022;;Lecture Notes in Computer Science;inbook;10.1007/978-3-031-21203-1_20;http://dx.doi.org/10.1007/978-3-031-21203-1_20;Springer
73;https://www.sciencedirect.com/science/article/abs/pii/S0167923622001658;;LP;Collaborative group embedding and decision aggregation based on attentive influence of individual members: A group recommendation perspective;offline;camra2011,mafengwo;movies,places(pois);GroupDecisions;;Coupled;Group;One-session;avg:2, 7;item-based,popularity,agree,com;organic;Permanent;relevance(hr,ndcg@k);Algorithm only;Data;Groups + filtering procedure;;;['camra2011', 'mafengwo'];camra2011,mafengwo;['camra2011', 'mafengwo'];['item-based', 'popularity', 'agree', 'com'];['relevance'];['movies', 'places(pois)'];['organic'];['organic'];[2.0, 7.0];" @article{Yu_2023, title={Collaborative group embedding and decision aggregation based on attentive influence of individual members: A group recommendation perspective}, volume={165}, ISSN={0167-9236}, url={http://dx.doi.org/10.1016/j.dss.2022.113894}, DOI={10.1016/j.dss.2022.113894}, journal={Decision Support Systems}, publisher={Elsevier BV}, author={Yu, Li and Leng, Youfang and Zhang, Dongsong and He, Shuheng}, year={2023}, month=feb, pages={113894} }
";Yu_2023;Collaborative group embedding and decision aggregation based on attentive influence of individual members: A group recommendation perspective;['Yu, Li', 'Leng, Youfang', 'Zhang, Dongsong', 'He, Shuheng'];2023;Decision Support Systems;;article;10.1016/j.dss.2022.113894;http://dx.doi.org/10.1016/j.dss.2022.113894;Elsevier BV
74;https://www.sciencedirect.com/science/article/pii/S0020025522001682;;LP;A personality-aware group recommendation system based on pairwise preferences;offline;augmentedml100k;movies;No_groups;ML100K + an additional online experiment with 46 users;Coupled;Individual;One-session;2-20;none;notspecified;Ephemeral;precision,consensus,fairness(thresholdbased);Algorithm only;No dataset provided;"Problems: group construction unclear
";;;['augmentedml100k'];augmentedml100k;['ml100k'];['-'];['relevance', 'consensus', 'fairness'];['movies'];['notspecified'];['unknown / not applicable'];[11.0];" @article{Abolghasemi_2022, title={A personality-aware group recommendation system based on pairwise preferences}, volume={595}, ISSN={0020-0255}, url={http://dx.doi.org/10.1016/j.ins.2022.02.033}, DOI={10.1016/j.ins.2022.02.033}, journal={Information Sciences}, publisher={Elsevier BV}, author={Abolghasemi, Roza and Engelstad, Paal and Herrera-Viedma, Enrique and Yazidi, Anis}, year={2022}, month=may, pages={1–17} }
";Abolghasemi_2022;A personality-aware group recommendation system based on pairwise preferences;['Abolghasemi, Roza', 'Engelstad, Paal', 'Herrera-Viedma, Enrique', 'Yazidi, Anis'];2022;Information Sciences;;article;10.1016/j.ins.2022.02.033;http://dx.doi.org/10.1016/j.ins.2022.02.033;Elsevier BV
75;https://www.sciencedirect.com/science/article/pii/S0020025522008933;;LP;Automatically detecting groups using locality-sensitive hashing in group recommendations;offline;meetup(ca),meetup(nyc),gowalla,douban;events,pois;GroupDecisions;;Coupled;Group;One-session;avg: 230, 330, 2,4;indivrs-groups-data,agree,soagree,com,mosan,groupim;organic(sameplacesametime+friendsonsocialnetwork);Mixed;relevance(hr,ndcg@k);Algorithm only;Data;Groups + filtering procedure;;;['meetup(ca)', 'meetup(nyc)', 'gowalla', 'douban'];meetup,gowalla,douban;['meetup', 'gowalla', 'douban'];['indivrs-groups-data', 'agree', 'soagree', 'com', 'mosan', 'groupim'];['relevance'];['events', 'pois'];['organic(sameplacesametime', 'friendsonsocialnetwork)'];['organic'];[230.0, 330.0, 2.0, 4.0];" @article{Kumar_2022, title={Automatically detecting groups using locality-sensitive hashing in group recommendations}, volume={601}, ISSN={0020-0255}, url={http://dx.doi.org/10.1016/j.ins.2022.04.028}, DOI={10.1016/j.ins.2022.04.028}, journal={Information Sciences}, publisher={Elsevier BV}, author={Kumar, Chintoo and Chowdary, C. Ravindranath and Shukla, Deepika}, year={2022}, month=jul, pages={207–223} }
";Kumar_2022;Automatically detecting groups using locality-sensitive hashing in group recommendations;['Kumar, Chintoo', 'Chowdary, C. Ravindranath', 'Shukla, Deepika'];2022;Information Sciences;;article;10.1016/j.ins.2022.04.028;http://dx.doi.org/10.1016/j.ins.2022.04.028;Elsevier BV
77;https://www.sciencedirect.com/science/article/pii/S0031320322000826;;LP;Incorporating global and local social networks for group recommendations;offline;camra2011,mafengwo;movies,places(pois);GroupDecisions;;Coupled;Group;One-session;avg:2, 7;item-based,popularity,agree,com,sigr,groupsa,game;organic;Permanent;relevance(hr,ndcg@k);Algorithm only;Data;Groups + filtering procedure;;;['camra2011', 'mafengwo'];camra2011,mafengwo;['camra2011', 'mafengwo'];['item-based', 'popularity', 'agree', 'com', 'sigr', 'groupsa', 'game'];['relevance'];['movies', 'places(pois)'];['organic'];['organic'];[2.0, 7.0];" @article{Leng_2022, title={Incorporating global and local social networks for group recommendations}, volume={127}, ISSN={0031-3203}, url={http://dx.doi.org/10.1016/j.patcog.2022.108601}, DOI={10.1016/j.patcog.2022.108601}, journal={Pattern Recognition}, publisher={Elsevier BV}, author={Leng, Youfang and Yu, Li}, year={2022}, month=jul, pages={108601} }
";Leng_2022;Incorporating global and local social networks for group recommendations;['Leng, Youfang', 'Yu, Li'];2022;Pattern Recognition;;article;10.1016/j.patcog.2022.108601;http://dx.doi.org/10.1016/j.patcog.2022.108601;Elsevier BV
78;https://www.sciencedirect.com/science/article/pii/S092523122200114X;;LP;Social dual-effect driven group modeling for neural group recommendation;offline;camra2011,yelp(la),movielens(unknownversion);movies,pois;GroupDecisions;;Coupled;Group;One-session;avg:2, 4, 5;item-based,indivrs-groups-data,com,agree,mosan,game,uda;organic+unknown;Mixed;relevance(hr,ndcg@k);Algorithm only;"Problems: Yelp data link does not work any more; Unclear MovieLens variant";Groups, GenerationProcedure;Problems: unclear ground truth in MovieLens dataset;;['camra2011', 'yelp(la)', 'movielens(unknownversion)'];camra2011,yelp;['camra2011', 'yelp'];['item-based', 'indivrs-groups-data', 'com', 'agree', 'mosan', 'game', 'uda'];['relevance'];['movies', 'pois'];['organic', 'unknown'];['organic', 'unknown / not applicable'];[2.0, 4.0, 5.0];" @article{Wang_2022, title={Social dual-effect driven group modeling for neural group recommendation}, volume={481}, ISSN={0925-2312}, url={http://dx.doi.org/10.1016/j.neucom.2022.01.093}, DOI={10.1016/j.neucom.2022.01.093}, journal={Neurocomputing}, publisher={Elsevier BV}, author={Wang, Peipei and Li, Lin and Xie, Qing and Wang, Ru and Xu, Guandong}, year={2022}, month=apr, pages={258–269} }
";Wang_2022;Social dual-effect driven group modeling for neural group recommendation;['Wang, Peipei', 'Li, Lin', 'Xie, Qing', 'Wang, Ru', 'Xu, Guandong'];2022;Neurocomputing;;article;10.1016/j.neucom.2022.01.093;http://dx.doi.org/10.1016/j.neucom.2022.01.093;Elsevier BV
79;https://ceur-ws.org/Vol-2955/paper1.pdf;;LP;Coupled or Decoupled Evaluation for Group Recommendation Methods?;offline;ml1m,kgrec;movies,music;No_groups;;Mixture or hybrid;Individual;One-session;2-8;item-based,fai,spgreedy,greedylm,xpo,gfar,fuzzda,ep-fuzzda;similar,divergent;Ephemeral;relevance(ar,ndcg),fairness(leastsatisfaction,min/max);Code;Data;GenerationProcedure (code);;;['ml1m', 'kgrec'];ml1m,kgrec;['ml1m', 'kgrec'];['item-based', 'fai', 'spgreedy', 'greedylm', 'xpo', 'gfar', 'fuzzda', 'ep-fuzzda'];['relevance'];['movies', 'music'];['similar', 'divergent'];['similar', 'divergent'];[5.0];"@inproceedings{PeskaM21,
  title = {Coupled or Decoupled Evaluation for Group Recommendation Methods?},
  author = {Ladislav Peska and Ladislav Malecek},
  year = {2021},
  url = {http://ceur-ws.org/Vol-2955/paper1.pdf},
  researchr = {https://researchr.org/publication/PeskaM21},
  cites = {0},
  citedby = {0},
  booktitle = {Proceedings of the Perspectives on the Evaluation of Recommender Systems Workshop 2021 co-located with the 15th ACM Conference on Recommender Systems (RecSys 2021), Amsterdam, The Netherlands, September 25, 2021},
  editor = {Eva Zangerle and Christine Bauer 0001 and Alan Said},
  volume = {2955},
  series = {CEUR Workshop Proceedings},
  publisher = {CEUR-WS.org},
}
";PeskaM21;Coupled or Decoupled Evaluation for Group Recommendation Methods?;['Ladislav Peska', 'Ladislav Malecek'];2021;RecSys;Proceedings of the Perspectives on the Evaluation of Recommender Systems Workshop 2021 co-located with the 15th ACM Conference on Recommender Systems (RecSys 2021), Amsterdam, The Netherlands, September 25, 2021;inproceedings;;http://ceur-ws.org/Vol-2955/paper1.pdf;CEUR-WS
80;https://www.sciencedirect.com/science/article/pii/S0957417421009878;;LP;Towards comprehensive profile aggregation methods for group recommendation based on the latent factor model;offline;ml1m,amazonvideo,yahoomusic;movies,music;No_groups;;Decoupled;Individual;One-session;2-15;item-based;random;Ephemeral;relevance(precision,recall,f1,ndcg,;Algorithm only;"Problems: links to Yahoo Music was not provided; dataset dimensions does not correspond to found ones";GenerationProcedure;;;['ml1m', 'amazonvideo', 'yahoomusic'];ml1m,amazonvideo,yahoomusic;['ml1m', 'other'];['item-based'];['relevance', ''];['movies', 'music'];['random'];['random'];[8.0];" @article{Nam_2021, title={Towards comprehensive profile aggregation methods for group recommendation based on the latent factor model}, volume={185}, ISSN={0957-4174}, url={http://dx.doi.org/10.1016/j.eswa.2021.115585}, DOI={10.1016/j.eswa.2021.115585}, journal={Expert Systems with Applications}, publisher={Elsevier BV}, author={Nam, Le Nguyen Hoai}, year={2021}, month=dec, pages={115585} }
";Nam_2021;Towards comprehensive profile aggregation methods for group recommendation based on the latent factor model;['Nam, Le Nguyen Hoai'];2021;Expert Systems with Applications;;article;10.1016/j.eswa.2021.115585;http://dx.doi.org/10.1016/j.eswa.2021.115585;Elsevier BV
81;https://dl.acm.org/doi/abs/10.1145/3459637.3482081;;LP;DeepGroup: Group Recommendation with Implicit Feedback;offline;irishelection,sushi;politics,food;No_groups;;Not applicable;Individual;One-session;2-10;popularity,item-based,agree;random;Ephemeral;relevance(accuracy);Code;Problems: links to datasets do not work, but they are accessible from the website;GenerationProcedure (code);;;['irishelection', 'sushi'];irishelection,sushi;['irishelection', 'sushi'];['popularity', 'item-based', 'agree'];['relevance'];['politics', 'food'];['random'];['random'];[6.0];" @inproceedings{Sajjadi_Ghaemmaghami_2021, series={CIKM ’21}, title={DeepGroup: Group Recommendation with Implicit Feedback}, url={http://dx.doi.org/10.1145/3459637.3482081}, DOI={10.1145/3459637.3482081}, booktitle={Proceedings of the 30th ACM International Conference on Information &amp; Knowledge Management}, publisher={ACM}, author={Sajjadi Ghaemmaghami, Sarina and Salehi-Abari, Amirali}, year={2021}, month=oct, collection={CIKM ’21} }
";Sajjadi_Ghaemmaghami_2021;DeepGroup: Group Recommendation with Implicit Feedback;['Sajjadi Ghaemmaghami, Sarina', 'Salehi-Abari, Amirali'];2021;CIKM;"Proceedings of the 30th ACM International Conference on Information &amp; Knowledge Management";inproceedings;10.1145/3459637.3482081;http://dx.doi.org/10.1145/3459637.3482081;ACM
